"title","tomatometer","audience_score","sentiment","num_reviews","url"
"Your Highness | Rotten Tomatoes","27%","34%","-0.4018489594260852","20","https://www.rottentomatoes.com/m/your_highness"
"12 | Rotten Tomatoes","76%","83%","0.5450482865174612","20","https://www.rottentomatoes.com/m/twelve"
"Mama | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/mama"
"Friday | Rotten Tomatoes","77%","91%","0.40085136517882347","9","https://www.rottentomatoes.com/m/friday"
"Birds of Paradise | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/birds_of_paradise"
"Daybreakers | Rotten Tomatoes","69%","49%","0.317886749903361","20","https://www.rottentomatoes.com/m/daybreakers"
"No Mercy | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/no_mercy"
"Crazy on the Outside | Rotten Tomatoes","8%","29%","-0.9922864139080048","9","https://www.rottentomatoes.com/m/crazy_on_the_outside"
"Leap Year | Rotten Tomatoes","N/A","50%","N/A","0","https://www.rottentomatoes.com/m/leap_year"
"Sex & Drugs & Rock & Roll | Rotten Tomatoes","70%","66%","0.2998473048210144","20","https://www.rottentomatoes.com/m/sex_and_drugs_and_rock_and_roll"
"Plan B | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/plan_b"
"The Book of Eli | Rotten Tomatoes","46%","65%","-0.24546416848897934","20","https://www.rottentomatoes.com/m/the_book_of_eli"
"Every Day | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/every_day"
"The Spy Next Door | Rotten Tomatoes","12%","40%","-0.25283076117436093","20","https://www.rottentomatoes.com/m/spy_next_door"
"Hide & Seek (2010) | Rotten Tomatoes","N/A","0%","-0.9993988275527954","1","https://www.rottentomatoes.com/m/hide_and_seek"
"Easy Money | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/easy_money"
"Detention (2019) | Rotten Tomatoes","N/A","N/A%","-0.3326670130093892","3","https://www.rottentomatoes.com/m/detention"
"Fool for Love | Rotten Tomatoes","79%","44%","0.0004593580961227417","4","https://www.rottentomatoes.com/m/fool_for_love"
"Black Panther | Rotten Tomatoes","N/A","48%","0.9466117024421692","1","https://www.rottentomatoes.com/m/black_panther"
"Extraordinary Measures | Rotten Tomatoes","29%","53%","-0.31476081162691116","20","https://www.rottentomatoes.com/m/extraordinary_measures"
"Bodyguard (1948) | Rotten Tomatoes","N/A","64%","-0.017291545867919922","2","https://www.rottentomatoes.com/m/bodyguard"
"Misconceptions | Rotten Tomatoes","N/A","38%","-0.9997617602348328","1","https://www.rottentomatoes.com/m/misconceptions"
"Oceans | Rotten Tomatoes","81%","75%","0.5049614782134692","18","https://www.rottentomatoes.com/m/oceans"
"The Locksmith | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_locksmith"
"Lucky (2005) | Rotten Tomatoes","N/A","58%","N/A","0","https://www.rottentomatoes.com/m/lucky"
"8: The Mormon Proposition | Rotten Tomatoes","64%","72%","0.45021480570236844","20","https://www.rottentomatoes.com/m/8_the_mormon_proposition"
"Countdown to Zero | Rotten Tomatoes","80%","72%","0.2720930402477582","20","https://www.rottentomatoes.com/m/countdown_to_zero"
"Joan Rivers: A Piece of Work | Rotten Tomatoes","92%","82%","0.8299159531792005","18","https://www.rottentomatoes.com/m/joan_rivers_a_piece_of_work"
"Sherlock Holmes | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/sherlock_holmes"
"Edge of Darkness | Rotten Tomatoes","54%","49%","-0.16567197690407434","20","https://www.rottentomatoes.com/m/edge_of_darkness"
"Preacher's Kid | Rotten Tomatoes","67%","64%","N/A","0","https://www.rottentomatoes.com/m/preachers_kid"
"Saint John of Las Vegas | Rotten Tomatoes","22%","27%","-0.3472585777441661","20","https://www.rottentomatoes.com/m/saint_john_of_las_vegas"
"When in Rome | Rotten Tomatoes","16%","41%","-0.7111473778883616","20","https://www.rottentomatoes.com/m/when_in_rome"
"The Color Purple | Rotten Tomatoes","81%","95%","0.679497147599856","20","https://www.rottentomatoes.com/m/the_color_purple"
"The Color Purple | Rotten Tomatoes","73%","94%","0.42397046834230423","20","https://www.rottentomatoes.com/m/color_purple"
"Get Out | Rotten Tomatoes","98%","86%","0.41578368097543716","20","https://www.rottentomatoes.com/m/get_out"
"Percy Jackson & the Olympians: The Lightning Thief | Rotten Tomatoes","48%","53%","0.17216487477223077","20","https://www.rottentomatoes.com/m/percy_jackson_and_the_olympians_the_lightning_thief"
"I Love You Phillip Morris | Rotten Tomatoes","71%","61%","0.5782484064499537","20","https://www.rottentomatoes.com/m/i_love_you_phillip_morris"
"From Paris With Love | Rotten Tomatoes","37%","54%","-0.4121390183766683","20","https://www.rottentomatoes.com/m/from_paris_with_love"
"Dear John | Rotten Tomatoes","28%","55%","-0.32147708535194397","20","https://www.rottentomatoes.com/m/dear_john"
"Kandahar | Rotten Tomatoes","89%","75%","0.5366158472994963","14","https://www.rottentomatoes.com/m/kandahar"
"Frozen | Rotten Tomatoes","50%","62%","0.49019726117451984","3","https://www.rottentomatoes.com/m/frozen"
"The Cursed | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_cursed"
"Temple Grandin | Rotten Tomatoes","100%","94%","0.9979721109072367","18","https://www.rottentomatoes.com/m/temple_grandin"
"Ice Castles | Rotten Tomatoes","44%","69%","-0.9919257760047913","1","https://www.rottentomatoes.com/m/ice_castles"
"My Name Is Khan | Rotten Tomatoes","86%","83%","0.8747707307338715","12","https://www.rottentomatoes.com/m/my_name_is_khan"
"Valentine's Day | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/valentines_day"
"Waiting for Forever | Rotten Tomatoes","5%","42%","-0.5144773340887493","19","https://www.rottentomatoes.com/m/waiting_for_forever"
"Beauty and the Beast | Rotten Tomatoes","96%","90%","0.5787849674622217","19","https://www.rottentomatoes.com/m/beauty_and_the_beast"
"Beauty and the Beast (1991) | Rotten Tomatoes","95%","93%","0.9906046489874522","20","https://www.rottentomatoes.com/m/beauty_and_the_beast_3d"
"The Ghost Writer | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_ghost_writer"
"Loose Cannons | Rotten Tomatoes","0%","27%","-0.9945087283849716","4","https://www.rottentomatoes.com/m/loose_cannons"
"Trick | Rotten Tomatoes","76%","83%","0.746759682893753","8","https://www.rottentomatoes.com/m/trick"
"Starstruck | Rotten Tomatoes","N/A","29%","N/A","0","https://www.rottentomatoes.com/m/starstruck"
"The Killing Jar | Rotten Tomatoes","N/A","60%","N/A","0","https://www.rottentomatoes.com/m/killing_jar"
"Centurion | Rotten Tomatoes","59%","43%","0.10368165125449498","20","https://www.rottentomatoes.com/m/centurion"
"Celine: Through the Eyes of the World | Rotten Tomatoes","33%","78%","-0.261378546555837","3","https://www.rottentomatoes.com/m/celine_through_the_eyes_of_the_world"
"The Infidel | Rotten Tomatoes","59%","46%","0.14290938207081386","7","https://www.rottentomatoes.com/m/the_infidel"
"Click | Rotten Tomatoes","34%","66%","-0.15151740362246832","20","https://www.rottentomatoes.com/m/click"
"The Killer Inside Me | Rotten Tomatoes","56%","40%","0.1651211977005005","20","https://www.rottentomatoes.com/m/the_killer_inside_me"
"The Killer Inside Me | Rotten Tomatoes","40%","25%","-0.0010778605937957764","2","https://www.rottentomatoes.com/m/killer_inside_me"
"Alice in Wonderland | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/alice_in_wonderland"
"Chloe | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/chloe"
"And Soon the Darkness | Rotten Tomatoes","38%","63%","-0.9995115995407104","1","https://www.rottentomatoes.com/m/and_soon_the_darkness"
"The Art of the Steal | Rotten Tomatoes","46%","39%","0.0807447334130605","20","https://www.rottentomatoes.com/m/the_art_of_the_steal"
"The Art of the Steal | Rotten Tomatoes","85%","87%","-0.2246410921216011","20","https://www.rottentomatoes.com/m/art_of_the_steal"
"Cop Out | Rotten Tomatoes","18%","39%","-0.2621791983644168","20","https://www.rottentomatoes.com/m/cop_out"
"The Crazies | Rotten Tomatoes","68%","50%","-0.000506177544593811","4","https://www.rottentomatoes.com/m/crazies"
"Formosa Betrayed | Rotten Tomatoes","33%","55%","-0.0008774432871076857","19","https://www.rottentomatoes.com/m/formosa_betrayed"
"Brooklyn's Finest | Rotten Tomatoes","44%","46%","-0.0025357306003570557","20","https://www.rottentomatoes.com/m/brooklyns_finest"
"Exit Through the Gift Shop | Rotten Tomatoes","96%","91%","0.3172812759876251","20","https://www.rottentomatoes.com/m/exit_through_the_gift_shop"
"Ondine | Rotten Tomatoes","70%","60%","0.09588462611039479","20","https://www.rottentomatoes.com/m/ondine"
"Five Minarets in New York | Rotten Tomatoes","N/A","37%","N/A","0","https://www.rottentomatoes.com/m/five_minarets_in_new_york"
"She's Out of My League | Rotten Tomatoes","57%","59%","-0.246988574663798","20","https://www.rottentomatoes.com/m/shes_out_of_my_league"
"Our Family Wedding | Rotten Tomatoes","15%","48%","-0.49215180426836014","20","https://www.rottentomatoes.com/m/our_family_wedding"
"Gone With the Pope | Rotten Tomatoes","67%","48%","0.9990028738975525","1","https://www.rottentomatoes.com/m/gone_with_the_pope"
"Cold Weather | Rotten Tomatoes","78%","52%","0.26126429190238315","20","https://www.rottentomatoes.com/m/cold_weather"
"Brotherhood (2010) | Rotten Tomatoes","54%","54%","0.17270696825451318","19","https://www.rottentomatoes.com/m/brotherhood"
"Shame | Rotten Tomatoes","67%","89%","0.5802427331606547","6","https://www.rottentomatoes.com/m/shame"
"The Bounty Hunter (1989) | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/bounty_hunter"
"How to Train Your Dragon | Rotten Tomatoes","99%","91%","0.8341447934508324","20","https://www.rottentomatoes.com/m/how_to_train_your_dragon"
"Never Let Me Go | Rotten Tomatoes","N/A","62%","N/A","0","https://www.rottentomatoes.com/m/never_let_me_go"
"Repo Men | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/repo_men"
"I Am Love | Rotten Tomatoes","81%","68%","0.49546781678994495","20","https://www.rottentomatoes.com/m/i_am_love"
"Diary of a Wimpy Kid | Rotten Tomatoes","54%","50%","0.1865337664882342","20","https://www.rottentomatoes.com/m/diary_of_a_wimpy_kid"
