feature,importance
is_documentary,0.14216454
cast_max_rating,0.0962601
director_max_rating,0.075853735
director_avg_rating,0.053273186
is_multi_director,0.021237435
runtime_standard,0.01905649
gender_balance_score,0.018348018
cast_count,0.015237788
decade_2010.0,0.014994687
cast_avg_rating,0.014641072
sentiment_positive,0.013073913
is_thriller,0.012760966
is_drama,0.012538902
has_cast,0.010828831
director_count,0.010448013
decade_2020.0,0.010130419
has_director,0.00938732
runtime,0.008614768
release_year,0.008365383
country_france,0.008325001
country_united_states_of_america,0.007325028
production_country_count,0.0072996984
country_japan,0.007125638
country_india,0.007032697
has_star_actor,0.0070140604
is_international_coproduction,0.006919488
total_cast_from_diversity,0.0069179838
is_us_production,0.006680634
has_budget,0.006512148
is_solo_director,0.006352236
production_company_count,0.0062878304
runtime_short,0.006239347
is_romance,0.0059129973
has_diversity_data,0.0057817386
female_cast_count,0.005461855
actor_eric_roberts,0.005353235
company_arte,0.0052274494
director_david_decoteau,0.0051716156
actor_michael_madsen,0.005121106
budget_micro,0.005065222
very_negative,0.004977399
director_christie_will_wolf,0.004976848
has_top_director,0.0049159736
star_actor_count,0.004551442
sentiment_negative,0.0045368527
has_known_director_gender,0.0045266612
country_south_korea,0.0043782922
budget,0.0043759807
company_hallmark_media,0.0043031657
genre_count,0.0042701284
country_germany,0.0042473
actor_vivica_a_fox,0.0042200233
engagement_none,0.0041875024
like_rate,0.004152461
very_positive,0.003998733
is_comedy,0.0039948965
runtime_long,0.0039096675
engagement_very_low,0.003833887
budget_log,0.003814925
company_ard,0.003731956
male_to_female_ratio,0.0037124422
sentiment_magnitude,0.0036851657
actor_aju_varghese,0.0036356153
country_spain,0.0036282854
director_kevin_fair,0.003594005
runtime_marathon,0.0035856068
male_cast_count,0.0035765448
female_dominated_cast,0.0035585442
actor_suraj_venjaramoodu,0.0035479288
likes_per_day,0.0034811194
company_lifetime,0.0034777136
director_gender,0.0034549271
country_italy,0.003428837
low_gender_balance,0.0033557273
like_count,0.0033535853
female_cast_percentage,0.003346638
country_canada,0.0033368596
company_reel_one_entertainment,0.003299396
actor_siddique,0.0032600996
director_doug_campbell,0.0032581901
comment_rate,0.0032392403
country_united_kingdom,0.003236394
budget_low,0.0032016593
sentiment_strength,0.00312012
company_rai_cinema,0.0031193055
likes_exp_decay_30,0.0030605819
high_gender_balance,0.0030594445
engagement_high,0.002983154
actor_michael_paré,0.0029806837
is_summer_release,0.0028560557
release_month,0.0028504701
comment_count,0.0028497225
actor_tom_sizemore,0.002844549
female_director,0.0028250979
male_director,0.0028152212
engagement_medium,0.0027554457
director_ryan_polito,0.0027155292
view_count,0.0027096476
actor_jr,0.002693434
has_trailer_data,0.0026820041
actor_brahmanandam,0.002650543
is_single_country,0.0026369244
male_dominated_cast,0.0026316978
director_mark_polonia,0.002611046
company_zdf,0.0025810485
engagement_low,0.0025796022
views_recency_weighted,0.0025775458
is_holiday_release,0.0025686577
release_quarter,0.0025206823
actor_murali_sharma,0.0025081472
director_jared_cohn,0.002477904
views_exp_decay_30,0.002452382
actor_grey_delisle,0.0024364234
views_per_day,0.002423609
actor_nassar,0.0024085953
company_universal_pictures,0.0024043028
likes_recency_weighted,0.0024008772
actor_yogi_babu,0.0023864254
actor_danny_trejo,0.0023828223
has_audience_score,0.0023653836
company_arte_france_cinéma,0.0023460805
balanced_cast,0.0023213634
company_france_2_cinéma,0.0022830197
company_marvista_entertainment,0.0022808525
actor_prakash_raj,0.0021462494
has_rt_url,0.0021332062
actor_lochlyn_munro,0.0020620485
actor_danny_glover,0.0019779552
budget_medium,0.0018976836
company_france_3_cinéma,0.0018642909
has_critic_score,0.001813053
director_fred_olen_ray,0.0017127264
company_lionsgate,0.001472041
budget_blockbuster,0.001418162
budget_high,0.0013348848
director_jason_bourque,0.0013151241
company_toho,0.0011977633
actor_vennela_kishore,0.0010991357
company_canal,0.0010061129
director_michael_feifer,0.000993083
actor_rao_ramesh,0.00089893525
has_genre,0.0
director_steven_r_monroe,0.0
director_peter_sullivan,0.0
engagement_viral,0.0
director_ron_oliver,0.0
moderate_negative,0.0
moderate_positive,0.0
director_damián_romay,0.0
has_runtime,0.0
neutral_sentiment,0.0
has_sentiment,0.0
director_terry_ingram,0.0
